,time,count,frame
0,2020-01-22 00:00:00.000000000,3,0
1,2020-01-22 00:00:24.083333333,3,1
2,2020-01-22 00:00:48.166666666,3,2
3,2020-01-22 00:01:12.249999999,10,3
4,2020-01-22 00:01:36.333333332,10,4
5,2020-01-22 00:02:00.416666665,11,5
6,2020-01-22 00:02:24.499999998,11,6
7,2020-01-22 00:02:48.583333331,11,7
8,2020-01-22 00:03:12.666666664,17,8
9,2020-01-22 00:03:36.749999997,17,9
10,2020-01-22 00:04:00.833333330,18,10
11,2020-01-22 00:04:24.916666663,18,11
12,2020-01-22 00:04:48.999999996,18,12
13,2020-01-22 00:05:13.083333329,18,13
14,2020-01-22 00:05:37.166666662,18,14
15,2020-01-22 00:06:01.249999995,19,15
16,2020-01-22 00:06:25.333333328,19,16
17,2020-01-22 00:06:49.416666661,19,17
18,2020-01-22 00:07:13.499999994,19,18
19,2020-01-22 00:07:37.583333327,19,19
20,2020-01-22 00:08:01.666666660,18,20
21,2020-01-22 00:08:25.749999993,18,21
22,2020-01-22 00:08:49.833333326,18,22
23,2020-01-22 00:09:13.916666659,18,23
24,2020-01-22 00:09:37.999999992,18,24
25,2020-01-22 00:10:02.083333325,18,25
26,2020-01-22 00:10:26.166666658,18,26
27,2020-01-22 00:10:50.249999991,18,27
28,2020-01-22 00:11:14.333333324,16,28
29,2020-01-22 00:11:38.416666657,16,29
30,2020-01-22 00:12:02.499999990,17,30
31,2020-01-22 00:12:26.583333323,17,31
32,2020-01-22 00:12:50.666666656,17,32
33,2020-01-22 00:13:14.749999989,15,33
34,2020-01-22 00:13:38.833333322,15,34
35,2020-01-22 00:14:02.916666655,15,35
36,2020-01-22 00:14:26.999999988,15,36
37,2020-01-22 00:14:51.083333321,15,37
38,2020-01-22 00:15:15.166666654,15,38
39,2020-01-22 00:15:39.249999987,15,39
40,2020-01-22 00:16:03.333333320,15,40
41,2020-01-22 00:16:27.416666653,15,41
42,2020-01-22 00:16:51.499999986,15,42
43,2020-01-22 00:17:15.583333319,16,43
44,2020-01-22 00:17:39.666666652,16,44
45,2020-01-22 00:18:03.749999985,16,45
46,2020-01-22 00:18:27.833333318,16,46
47,2020-01-22 00:18:51.916666651,16,47
48,2020-01-22 00:19:15.999999984,16,48
49,2020-01-22 00:19:40.083333317,16,49
50,2020-01-22 00:20:04.166666650,14,50
51,2020-01-22 00:20:28.249999983,14,51
52,2020-01-22 00:20:52.333333316,14,52
53,2020-01-22 00:21:16.416666649,15,53
54,2020-01-22 00:21:40.499999982,15,54
55,2020-01-22 00:22:04.583333315,15,55
56,2020-01-22 00:22:28.666666648,15,56
57,2020-01-22 00:22:52.749999981,15,57
58,2020-01-22 00:23:16.833333314,15,58
59,2020-01-22 00:23:40.916666647,15,59
60,2020-01-22 00:24:04.999999980,15,60
61,2020-01-22 00:24:29.083333313,15,61
62,2020-01-22 00:24:53.166666646,15,62
63,2020-01-22 00:25:17.249999979,15,63
64,2020-01-22 00:25:41.333333312,15,64
65,2020-01-22 00:26:05.416666645,15,65
66,2020-01-22 00:26:29.499999978,15,66
