,time,count,frame
138,2020-01-22 00:55:23.499999954,0,138
139,2020-01-22 00:55:47.583333287,0,139
140,2020-01-22 00:56:11.666666620,0,140
141,2020-01-22 00:56:35.749999953,0,141
142,2020-01-22 00:56:59.833333286,0,142
143,2020-01-22 00:57:23.916666619,0,143
144,2020-01-22 00:57:47.999999952,0,144
145,2020-01-22 00:58:12.083333285,0,145
146,2020-01-22 00:58:36.166666618,0,146
147,2020-01-22 00:59:00.249999951,0,147
148,2020-01-22 00:59:24.333333284,0,148
149,2020-01-22 00:59:48.416666617,0,149
150,2020-01-22 01:00:12.499999950,0,150
151,2020-01-22 01:00:36.583333283,0,151
152,2020-01-22 01:01:00.666666616,0,152
153,2020-01-22 01:01:24.749999949,0,153
154,2020-01-22 01:01:48.833333282,0,154
155,2020-01-22 01:02:12.916666615,0,155
156,2020-01-22 01:02:36.999999948,0,156
157,2020-01-22 01:03:01.083333281,0,157
158,2020-01-22 01:03:25.166666614,0,158
159,2020-01-22 01:03:49.249999947,0,159
160,2020-01-22 01:04:13.333333280,0,160
161,2020-01-22 01:04:37.416666613,0,161
162,2020-01-22 01:05:01.499999946,0,162
163,2020-01-22 01:05:25.583333279,0,163
164,2020-01-22 01:05:49.666666612,0,164
165,2020-01-22 01:06:13.749999945,0,165
166,2020-01-22 01:06:37.833333278,0,166
167,2020-01-22 01:07:01.916666611,0,167
168,2020-01-22 01:07:25.999999944,0,168
169,2020-01-22 01:07:50.083333277,0,169
170,2020-01-22 01:08:14.166666610,0,170
171,2020-01-22 01:08:38.249999943,0,171
172,2020-01-22 01:09:02.333333276,0,172
173,2020-01-22 01:09:26.416666609,0,173
174,2020-01-22 01:09:50.499999942,0,174
175,2020-01-22 01:10:14.583333275,0,175
176,2020-01-22 01:10:38.666666608,0,176
177,2020-01-22 01:11:02.749999941,0,177
178,2020-01-22 01:11:26.833333274,0,178
179,2020-01-22 01:11:50.916666607,0,179
180,2020-01-22 01:12:14.999999940,0,180
181,2020-01-22 01:12:39.083333273,0,181
182,2020-01-22 01:13:03.166666606,0,182
183,2020-01-22 01:13:27.249999939,0,183
184,2020-01-22 01:13:51.333333272,0,184
185,2020-01-22 01:14:15.416666605,0,185
186,2020-01-22 01:14:39.499999938,0,186
187,2020-01-22 01:15:03.583333271,0,187
188,2020-01-22 01:15:27.666666604,0,188
189,2020-01-22 01:15:51.749999937,0,189
190,2020-01-22 01:16:15.833333270,0,190
191,2020-01-22 01:16:39.916666603,0,191
192,2020-01-22 01:17:03.999999936,0,192
193,2020-01-22 01:17:28.083333269,0,193
194,2020-01-22 01:17:52.166666602,0,194
195,2020-01-22 01:18:16.249999935,0,195
196,2020-01-22 01:18:40.333333268,0,196
197,2020-01-22 01:19:04.416666601,0,197
198,2020-01-22 01:19:28.499999934,0,198
199,2020-01-22 01:19:52.583333267,0,199
200,2020-01-22 01:20:16.666666600,0,200
201,2020-01-22 01:20:40.749999933,0,201
202,2020-01-22 01:21:04.833333266,0,202
203,2020-01-22 01:21:28.916666599,0,203
204,2020-01-22 01:21:52.999999932,0,204
205,2020-01-22 01:22:17.083333265,0,205
206,2020-01-22 01:22:41.166666598,0,206
207,2020-01-22 01:23:05.249999931,0,207
208,2020-01-22 01:23:29.333333264,0,208
209,2020-01-22 01:23:53.416666597,0,209
210,2020-01-22 01:24:17.499999930,0,210
211,2020-01-22 01:24:41.583333263,0,211
212,2020-01-22 01:25:05.666666596,0,212
213,2020-01-22 01:25:29.749999929,0,213
214,2020-01-22 01:25:53.833333262,0,214
215,2020-01-22 01:26:17.916666595,0,215
216,2020-01-22 01:26:41.999999928,0,216
217,2020-01-22 01:27:06.083333261,0,217
218,2020-01-22 01:27:30.166666594,0,218
219,2020-01-22 01:27:54.249999927,0,219
220,2020-01-22 01:28:18.333333260,0,220
221,2020-01-22 01:28:42.416666593,0,221
222,2020-01-22 01:29:06.499999926,0,222
223,2020-01-22 01:29:30.583333259,0,223
224,2020-01-22 01:29:54.666666592,0,224
225,2020-01-22 01:30:18.749999925,0,225
226,2020-01-22 01:30:42.833333258,0,226
227,2020-01-22 01:31:06.916666591,0,227
228,2020-01-22 01:31:30.999999924,0,228
229,2020-01-22 01:31:55.083333257,0,229
230,2020-01-22 01:32:19.166666590,0,230
231,2020-01-22 01:32:43.249999923,0,231
232,2020-01-22 01:33:07.333333256,0,232
233,2020-01-22 01:33:31.416666589,0,233
234,2020-01-22 01:33:55.499999922,0,234
235,2020-01-22 01:34:19.583333255,0,235
236,2020-01-22 01:34:43.666666588,0,236
237,2020-01-22 01:35:07.749999921,0,237
238,2020-01-22 01:35:31.833333254,0,238
239,2020-01-22 01:35:55.916666587,0,239
240,2020-01-22 01:36:19.999999920,0,240
241,2020-01-22 01:36:44.083333253,0,241
242,2020-01-22 01:37:08.166666586,0,242
243,2020-01-22 01:37:32.249999919,0,243
244,2020-01-22 01:37:56.333333252,0,244
