,start_time,start_lat,start_lon,end_time,end_lat,end_lon,duration,route_type,bearing
41,2020-01-22 00:08:00,37.706121,-122.469081,2020-01-22 00:12:00,37.721585,-122.447506,240,metro,47.82179293004276
42,2020-01-22 00:09:00,37.699756,-121.92823999999999,2020-01-22 00:19:00,37.690746000000004,-122.075602,600,metro,265.58152110852166
43,2020-01-22 00:09:00,37.733064,-122.43381699999999,2020-01-22 00:12:00,37.721585,-122.447506,180,metro,223.325905153177
44,2020-01-22 00:10:00,37.803768,-122.27145,2020-01-22 00:15:00,37.804871999999996,-122.29513999999999,300,metro,273.37549051111563
45,2020-01-22 00:10:00,37.829065,-122.26704,2020-01-22 00:13:00,37.844702000000005,-122.25137099999999,180,metro,38.35726315968407
46,2020-01-22 00:10:00,37.804871999999996,-122.29513999999999,2020-01-22 00:17:00,37.792874,-122.39702,420,metro,261.52307102042425
47,2020-01-22 00:11:00,37.829065,-122.26704,2020-01-22 00:14:00,37.852803,-122.27006200000001,180,metro,354.25899972178104
48,2020-01-22 00:11:00,37.928468,-122.05601200000001,2020-01-22 00:14:00,37.905522,-122.067527,180,metro,201.59836048418975
49,2020-01-22 00:11:00,37.973737,-122.029095,2020-01-22 00:14:00,38.003192999999996,-122.024653,180,metro,6.777902992777626
50,2020-01-22 00:11:00,37.80835,-122.268602,2020-01-22 00:13:00,37.803768,-122.27145,120,metro,206.15521817215404
51,2020-01-22 00:11:00,37.669723,-122.087018,2020-01-22 00:15:00,37.634375,-122.057189,240,metro,146.25236976471103
52,2020-01-22 00:12:00,37.721585,-122.447506,2020-01-22 00:16:00,37.706121,-122.469081,240,metro,227.82179293003819
53,2020-01-22 00:12:00,37.721585,-122.447506,2020-01-22 00:14:00,37.733064,-122.43381699999999,120,metro,43.325905153165195
54,2020-01-22 00:12:00,37.797027,-122.26518,2020-01-22 00:16:00,37.774836,-122.224175,240,metro,124.40219412971595
55,2020-01-22 00:12:00,37.753661,-122.19686899999999,2020-01-22 00:20:00,37.713238,-122.21219099999999,480,metro,196.6872205219994
56,2020-01-22 00:13:00,37.844702000000005,-122.25137099999999,2020-01-22 00:18:00,37.878361,-122.18379099999999,300,metro,57.75381644403012
57,2020-01-22 00:13:00,37.634375,-122.057189,2020-01-22 00:17:00,37.669723,-122.087018,240,metro,326.2523697647137
58,2020-01-22 00:13:00,37.803768,-122.27145,2020-01-22 00:16:00,37.797027,-122.26518,180,metro,143.68626438034926
59,2020-01-22 00:14:00,37.733064,-122.43381699999999,2020-01-22 00:17:00,37.75247,-122.41814299999999,180,metro,32.56609278462963
60,2020-01-22 00:14:00,38.003192999999996,-122.024653,2020-01-22 00:21:00,38.018914,-121.945154,420,metro,75.91052563358352
61,2020-01-22 00:14:00,37.905522,-122.067527,2020-01-22 00:19:00,37.893176000000004,-122.12463000000001,300,metro,254.67737742394695
62,2020-01-22 00:14:00,37.852803,-122.27006200000001,2020-01-22 00:16:00,37.870104,-122.268133,120,metro,5.0305590884173625
63,2020-01-22 00:15:00,37.804871999999996,-122.29513999999999,2020-01-22 00:21:00,37.792874,-122.39702,360,metro,261.52307102042425
64,2020-01-22 00:15:00,37.634375,-122.057189,2020-01-22 00:20:00,37.59063,-122.01738799999998,300,metro,144.21833079654016
65,2020-01-22 00:16:00,37.706121,-122.469081,2020-01-22 00:20:00,37.684638,-122.466233,240,metro,174.01163135843285
66,2020-01-22 00:16:00,37.774836,-122.224175,2020-01-22 00:19:00,37.753661,-122.19686899999999,180,metro,134.4487693070277
67,2020-01-22 00:16:00,37.870104,-122.268133,2020-01-22 00:19:00,37.873967,-122.28343999999998,180,metro,287.7292226901669
68,2020-01-22 00:16:00,37.797027,-122.26518,2020-01-22 00:20:00,37.774836,-122.224175,240,metro,124.40219412971595
69,2020-01-22 00:17:00,37.936853,-122.353099,2020-01-22 00:21:00,37.925086,-122.31679399999999,240,metro,112.33881498967202
70,2020-01-22 00:17:00,37.699756,-121.92823999999999,2020-01-22 00:20:00,37.701687,-121.899179,180,metro,85.19955485531824
71,2020-01-22 00:17:00,37.669723,-122.087018,2020-01-22 00:21:00,37.696923999999996,-122.12651399999999,240,metro,311.03082445973325
