,start_time,start_lat,start_lon,end_time,end_lat,end_lon,duration,route_type
57,2020-01-22 0:13:00,37.634375,-122.057189,2020-01-22 0:17:00,37.669723,-122.087018,240,metro
58,2020-01-22 0:13:00,37.803768,-122.27145,2020-01-22 0:16:00,37.797027,-122.26518,180,metro
59,2020-01-22 0:14:00,37.733064,-122.433817,2020-01-22 0:17:00,37.75247,-122.418143,180,metro
60,2020-01-22 0:14:00,38.003193,-122.024653,2020-01-22 0:21:00,38.018914,-121.945154,420,metro
61,2020-01-22 0:14:00,37.905522,-122.067527,2020-01-22 0:19:00,37.893176,-122.12463,300,metro
62,2020-01-22 0:14:00,37.852803,-122.270062,2020-01-22 0:16:00,37.870104,-122.268133,120,metro
63,2020-01-22 0:15:00,37.804872,-122.29514,2020-01-22 0:21:00,37.792874,-122.39702,360,metro
64,2020-01-22 0:15:00,37.634375,-122.057189,2020-01-22 0:20:00,37.59063,-122.017388,300,metro
65,2020-01-22 0:16:00,37.706121,-122.469081,2020-01-22 0:20:00,37.684638,-122.466233,240,metro
66,2020-01-22 0:16:00,37.774836,-122.224175,2020-01-22 0:19:00,37.753661,-122.196869,180,metro
67,2020-01-22 0:16:00,37.870104,-122.268133,2020-01-22 0:19:00,37.873967,-122.28344,180,metro
68,2020-01-22 0:16:00,37.797027,-122.26518,2020-01-22 0:20:00,37.774836,-122.224175,240,metro
69,2020-01-22 0:17:00,37.669723,-122.087018,2020-01-22 0:21:00,37.696924,-122.126514,240,metro
70,2020-01-22 0:17:00,37.792874,-122.39702,2020-01-22 0:18:00,37.789405,-122.401066,60,metro
71,2020-01-22 0:17:00,37.75247,-122.418143,2020-01-22 0:19:00,37.765062,-122.419694,120,metro
72,2020-01-22 0:17:00,37.699756,-121.92824,2020-01-22 0:20:00,37.701687,-121.899179,180,metro
73,2020-01-22 0:17:00,37.936853,-122.353099,2020-01-22 0:21:00,37.925086,-122.316794,240,metro
74,2020-01-22 0:18:00,37.789405,-122.401066,2020-01-22 0:20:00,37.784471,-122.407974,120,metro
75,2020-01-22 0:18:00,37.878361,-122.183791,2020-01-22 0:23:00,37.893176,-122.12463,300,metro
76,2020-01-22 0:19:00,37.893176,-122.12463,2020-01-22 0:23:00,37.878361,-122.183791,240,metro
77,2020-01-22 0:19:00,37.765062,-122.419694,2020-01-22 0:21:00,37.779732,-122.414123,120,metro
78,2020-01-22 0:19:00,37.690746,-122.075602,2020-01-22 0:24:00,37.696924,-122.126514,300,metro
79,2020-01-22 0:19:00,37.753661,-122.196869,2020-01-22 0:23:00,37.721947,-122.160844,240,metro
80,2020-01-22 0:19:00,37.873967,-122.28344,2020-01-22 0:22:00,37.902632,-122.298904,180,metro
81,2020-01-22 0:20:00,37.774836,-122.224175,2020-01-22 0:23:00,37.753661,-122.196869,180,metro
82,2020-01-22 0:20:00,37.684638,-122.466233,2020-01-22 0:23:00,37.664245,-122.44396,180,metro
83,2020-01-22 0:20:00,37.784471,-122.407974,2020-01-22 0:22:00,37.779732,-122.414123,120,metro
84,2020-01-22 0:20:00,37.59063,-122.017388,2020-01-22 0:25:00,37.557465,-121.976608,300,metro
85,2020-01-22 0:21:00,37.779732,-122.414123,2020-01-22 0:23:00,37.784471,-122.407974,120,metro
86,2020-01-22 0:21:00,37.792874,-122.39702,2020-01-22 0:23:00,37.789405,-122.401066,120,metro
87,2020-01-22 0:21:00,38.018914,-121.945154,2020-01-22 0:29:00,38.016941,-121.889457,480,metro
88,2020-01-22 0:21:00,37.925086,-122.316794,2020-01-22 0:24:00,37.902632,-122.298904,180,metro
89,2020-01-22 0:21:00,37.713238,-122.212191,2020-01-22 0:29:00,37.753661,-122.196869,480,metro
90,2020-01-22 0:21:00,37.696924,-122.126514,2020-01-22 0:24:00,37.721947,-122.160844,180,metro
91,2020-01-22 0:22:00,37.779732,-122.414123,2020-01-22 0:24:00,37.765062,-122.419694,120,metro
92,2020-01-22 0:22:00,37.902632,-122.298904,2020-01-22 0:25:00,37.925086,-122.316794,180,metro
93,2020-01-22 0:23:00,37.893176,-122.12463,2020-01-22 0:27:00,37.905522,-122.067527,240,metro
94,2020-01-22 0:23:00,37.721947,-122.160844,2020-01-22 0:27:00,37.696924,-122.126514,240,metro
95,2020-01-22 0:23:00,37.789405,-122.401066,2020-01-22 0:25:00,37.784471,-122.407974,120,metro
96,2020-01-22 0:23:00,37.878361,-122.183791,2020-01-22 0:30:00,37.844702,-122.251371,420,metro
97,2020-01-22 0:23:00,37.664245,-122.44396,2020-01-22 0:26:00,37.637761,-122.416287,180,metro
98,2020-01-22 0:23:00,37.753661,-122.196869,2020-01-22 0:27:00,37.721947,-122.160844,240,metro
99,2020-01-22 0:23:00,37.784471,-122.407974,2020-01-22 0:24:00,37.789405,-122.401066,60,metro
100,2020-01-22 0:24:00,37.721947,-122.160844,2020-01-22 0:29:00,37.753661,-122.196869,300,metro
101,2020-01-22 0:24:00,37.696924,-122.126514,2020-01-22 0:28:00,37.721947,-122.160844,240,metro
102,2020-01-22 0:24:00,37.902632,-122.298904,2020-01-22 0:28:00,37.873967,-122.28344,240,metro
103,2020-01-22 0:24:00,37.765062,-122.419694,2020-01-22 0:26:00,37.75247,-122.418143,120,metro
104,2020-01-22 0:24:00,37.789405,-122.401066,2020-01-22 0:26:00,37.792874,-122.39702,120,metro
105,2020-01-22 0:25:00,37.784471,-122.407974,2020-01-22 0:26:00,37.779732,-122.414123,60,metro
106,2020-01-22 0:25:00,37.925086,-122.316794,2020-01-22 0:29:00,37.936853,-122.353099,240,metro
107,2020-01-22 0:25:00,37.557465,-121.976608,2020-01-22 0:32:00,37.502171,-121.939313,420,metro
108,2020-01-22 0:26:00,37.792874,-122.39702,2020-01-22 0:33:00,37.804872,-122.29514,420,metro
109,2020-01-22 0:26:00,37.75247,-122.418143,2020-01-22 0:29:00,37.733064,-122.433817,180,metro
110,2020-01-22 0:26:00,37.779732,-122.414123,2020-01-22 0:29:00,37.765062,-122.419694,180,metro
111,2020-01-22 0:26:00,37.637761,-122.416287,2020-01-22 0:30:00,37.615966,-122.392409,240,metro
112,2020-01-22 0:27:00,37.721947,-122.160844,2020-01-22 0:31:00,37.696924,-122.126514,240,metro
113,2020-01-22 0:27:00,37.905522,-122.067527,2020-01-22 0:30:00,37.928468,-122.056012,180,metro
114,2020-01-22 0:27:00,37.696924,-122.126514,2020-01-22 0:32:00,37.690746,-122.075602,300,metro
115,2020-01-22 0:28:00,37.873967,-122.28344,2020-01-22 0:30:00,37.870104,-122.268133,120,metro
116,2020-01-22 0:28:00,37.721947,-122.160844,2020-01-22 0:32:00,37.753661,-122.196869,240,metro
117,2020-01-22 0:29:00,37.765062,-122.419694,2020-01-22 0:31:00,37.75247,-122.418143,120,metro
118,2020-01-22 0:29:00,38.016941,-121.889457,2020-01-22 0:37:00,37.995388,-121.78042,480,metro
119,2020-01-22 0:29:00,37.733064,-122.433817,2020-01-22 0:31:00,37.721585,-122.447506,120,metro
